,Title,Release Year,Runtime,Gross Worldwide Boxoffice
700,Blood Simple,1985,99,4262856
701,Saw,2004,103,104004218
702,Midnight in Paris,2011,94,151672318
703,Who Framed Roger Rabbit,1988,104,329803958
704,The Muppet Christmas Carol,1992,85,33274029
705,Eastern Promises,2007,100,56107312
706,Dangerous Liaisons,1989,119,34670720
707,Lolita,1962,153,7411
708,True Grit,2010,110,252278285
709,Snow White and the Seven Dwarfs,1938,83,184960747
710,Cell 211,2009,113,19305314
711,Blow-Up,1967,111,38575
712,Star Wars: Episode III - Revenge of the Sith,2005,140,850035635
713,Zodiac,2007,157,84786496
714,First Blood,1982,93,125212904
715,Lady Vengeance,2005,115,23835242
716,The Secret World of Arrietty,2012,94,149660003
717,In a Better World,2010,118,13004504
718,Little Big Man,1970,139,31559552
719,La Vie En Rose,2007,140,87485236
720,Dawn of the Planet of the Apes,2014,130,710644566
721,Minority Report,2002,145,358372926
722,End of Watch,2012,109,55078146
723,Y tu mamá también,2001,106,33616692
724,Seven Pounds,2008,123,169748929
725,The Big Blue,1988,168,3992246
726,Lost Highway,1997,134,3836866
727,Grindhouse,2007,191,25422088
728,Spellbound,1945,111,19000
729,The Player,1992,124,21706547
730,Midnight Express,1978,121,35000000
731,Kelly's Heroes,1970,144,5200000
732,Moulin Rouge!,2001,127,184935252
733,The Hunger Games: Catching Fire,2013,146,865011746
734,Traffic,2001,147,207515725
735,Kiss Kiss Bang Bang,2005,103,15785148
736,The Fifth Element,1997,126,263920180
737,M*A*S*H,1970,116,81600000
738,Whale Rider,2003,101,41062976
739,Inside Man,2006,129,186003591
740,Mission: Impossible - Rogue Nation,2015,131,682716636
741,Stranger Than Fiction,2006,113,53653224
742,Watchmen,2009,162,185382813
743,Philomena,2013,98,100129872
744,The Wicker Man,1974,88,528514
745,I Am Sam,2002,132,97818302
746,Fried Green Tomatoes,1992,130,119418501
747,Les Misérables,2012,158,442757529
748,127 Hours,2011,94,60738797
749,The Royal Tenenbaums,2002,110,71442210
750,Harry Potter and the Goblet of Fire,2005,157,897468952
751,High Plains Drifter,1973,105,15706540
752,Mad Max 2: The Road Warrior,1982,96,23670853
753,A Few Good Men,1992,138,243240178
754,The Illusionist,2006,110,87892388
755,United 93,2006,111,76700659
756,The Thin Red Line,1999,170,98126565
757,Milk,2009,128,54662930
758,Lethal Weapon,1987,109,120207127
759,The Jungle Book,1967,78,205843612
760,28 Days Later,2003,113,84661434
761,The Flowers of War,2011,146,2855644
762,The Godfather Part III,1990,162,136861392
763,Thank You for Smoking,2006,92,39323027
764,When Harry Met Sally...,1989,95,93274466
765,Frozen,2013,102,1306450154
766,Sherlock Holmes,2009,128,524028679
767,The Kite Runner,2008,128,75011029
768,Blow,2001,124,83282296
769,The Skin I Live In,2011,120,33716389
770,Superbad,2007,113,170812574
771,House of Sand and Fog,2004,126,16763804
772,Drunken Master II,2000,102,11555430
773,Munich,2006,164,130982407
774,Lord of War,2005,122,72617068
775,Dracula,1931,75,87019
776,American Psycho,2000,102,34266679
777,The Crow,1994,102,50840352
778,The Naked Gun: From the Files of Police Squad!,1988,85,78756177
779,The Raid: Redemption,2012,101,9146852
780,Volver,2007,121,85605851
781,National Lampoon's Animal House,1978,109,141607219
782,Man Bites Dog,1993,95,205569
783,The Others,2001,104,210002906
784,The Party,1968,99,10786
785,Army of Darkness,1993,81,11514639
786,The Last Temptation of Christ,1988,164,8866022
787,West Side Story,1961,153,44134880
788,The Hurt Locker,2009,131,49259766
789,The Blind Swordsman: Zatoichi,2003,116,34196922
790,The Man from U.N.C.L.E.,2015,116,110045109
791,Apollo 13,1995,140,355237933
792,Fury,2014,134,211822697
793,Escape from Alcatraz,1979,112,43005351
794,13 Assassins,2010,141,18689058
795,The Hunt for Red October,1990,135,200512643
796,The Counterfeiters,2008,99,18814713
797,The Impossible,2013,114,198087212
798,A Fish Called Wanda,1988,108,62493712
799,Kung Fu Panda,2008,92,632091832
800,Following,1999,69,126052
801,Funny Games,1998,108,972
802,Enemy at the Gates,2001,131,96976270
803,The Man Who Wasn't There,2001,116,18918721
804,Indiana Jones and the Temple of Doom,1984,118,333107271
805,Hunger,2008,96,3185113
806,A Royal Affair,2012,137,14758997
807,Falling Down,1993,113,40903593
808,The Abyss,1989,140,90520202
809,"Lust, Caution",2007,157,67091915
810,The Guns of Navarone,1961,158,20616
811,Southpaw,2015,124,91970827
812,The Little Mermaid,1989,83,211343479
813,Ip Man 2,2010,108,15089448
814,Garden State,2004,102,35825316
815,Robin Hood,1973,83,Data not available
816,It's a Mad Mad Mad Mad World,1963,210,46333064
817,Moneyball,2011,133,110206216
818,Secondhand Lions,2003,109,48260279
819,Die Hard with a Vengeance,1995,128,366101666
820,The Reader,2009,124,108902486
821,The Wave,2011,107,32350637
822,An American Werewolf in London,1981,97,30819283
823,Hoosiers,1987,114,28607524
824,Lone Survivor,2014,121,154802912
825,The Piano,1994,121,40185556
826,The Omen,1976,111,60922980
827,Interview with the Vampire,1994,123,223664608
828,The Secret of NIMH,1982,82,14665733
829,The Great Debaters,2007,126,30271556
830,Dead Alive,1993,104,242623
831,Midnight Run,1988,126,81613606
832,Dead Man Walking,1996,122,39363635
833,The Meaning of Life,1983,107,14949697
834,The Book Thief,2013,131,76586316
835,Little Children,2007,137,14821658
836,Disconnect,2013,115,3428048
837,A Single Man,2010,99,24964890
838,Tucker and Dale vs Evil,2010,89,5241377
839,The Town,2010,125,154026136
840,Rise of the Planet of the Apes,2011,105,481800873
841,Ice Age,2002,81,383257136
842,Boys Don't Cry,2000,118,11540607
843,Leaving Las Vegas,1996,111,32029928
844,Collateral,2004,120,220239925
845,The Evil Dead,1983,85,2895590
846,High Fidelity,2000,113,47126295
847,Tell No One,2006,131,33428799
848,Headhunters,2011,100,19387088
849,Sideways,2004,127,109706931
850,Of Mice and Men,1992,115,5471088
851,Chaplin,1993,143,9493259
852,Batman,1989,126,411569241
853,The Hours,2003,110,108846217
854,Hugo,2011,126,185770310
855,The Fisher King,1991,137,41895736
856,Field of Dreams,1989,107,84431625
857,House of Flying Daggers,2005,119,92863945
858,"Planes, Trains & Automobiles",1987,93,49530280
859,What We Do in the Shadows,2015,86,7450669
860,Star Trek: First Contact,1996,111,146027888
861,National Lampoon's Christmas Vacation,1989,97,74540604
862,The Damned United,2009,98,4091378
863,The Assassination of Jesse James by the Coward Robert Ford,2007,160,15003764
864,Ghost Dog: The Way of the Samurai,2000,116,9421594
865,The Hurricane,2000,146,73956241
866,The Natural,1984,138,47951979
867,August Rush,2007,114,66122026
868,The Edukators,2004,127,8152859
869,Keith,2008,95,Data not available
870,Hair,1979,121,15313606
871,"The Cook, the Thief, His Wife & Her Lover",1990,124,8526030
872,Juno,2007,96,232373066
873,"Good Night, and Good Luck.",2005,93,54641191
874,Sleepers,1996,147,165615285
875,Rudy,1993,114,22881563
876,Gangs of New York,2002,167,193772504
877,Jacob's Ladder,1990,113,26118851
878,The Life of David Gale,2003,130,38955598
879,The Class,2009,128,29303505
880,RoboCop,1987,102,53429250
881,Bullets Over Broadway,1995,98,13383747
882,Equilibrium,2002,107,5368217
883,42,2013,128,97510197
884,The Wind that Shakes the Barley,2007,127,22903165
885,Elizabeth,1999,124,82150642
886,Menace II Society,1993,97,27912072
887,Saving Mr. Banks,2013,125,117867984
888,Straw Dogs,1971,113,Data not available
889,Green Street Hooligans,2005,109,3814717
890,Wallace & Gromit: The Curse of the Were-Rabbit,2005,85,192705291
891,The Bridges of Madison County,1995,135,182016617
892,Life as a House,2001,125,23903791
893,Perfume: The Story of a Murderer,2007,147,135039924
894,Reign Over Me,2007,124,22242388
895,Jackie Brown,1997,154,39693845
896,A Simple Plan,1999,121,16316273
897,The Painted Veil,2007,125,26910847
898,Quiz Show,1994,133,24822619
899,A Perfect World,1993,138,135130999
900,American Splendor,2003,101,7986084
901,Marathon Man,1976,125,21709020
902,The Fly,1986,96,60629159
903,Maria Full of Grace,2004,101,12594630
904,The Man Who Knew Too Much,1956,120,10190
905,Cloud Atlas,2012,172,130516424
906,American Graffiti,1973,110,115006578
907,Pleasantville,1998,124,49805462
908,The Conjuring,2013,112,320415166
909,Selma,2015,128,67782762
910,Gallipoli,1981,110,5737029
911,Sherlock Holmes: A Game of Shadows,2011,129,543848418
912,Miracle,2004,135,64445708
913,Scott Pilgrim vs. the World,2010,112,51691156
914,Doubt,2008,104,51699984
915,Despicable Me 2,2013,98,970766005
916,We Need to Talk About Kevin,2011,112,9212174
917,Three Days of the Condor,1975,117,27476252
918,Pinocchio,1940,88,121892045
919,Mulan,1998,87,304320254
920,A Nightmare on Elm Street,1984,91,25858216
921,The Ice Storm,1997,112,8038061
922,The Orphanage,2008,105,78638987
923,Malena,2001,108,14493284
924,Legends of the Fall,1995,133,160638883
925,Freedom Writers,2007,123,43095175
926,Rust and Bone,2012,120,25807712
927,My Cousin Vinny,1992,120,64088552
928,Everything Is Illuminated,2005,106,3601974
929,To Catch a Thief,1955,106,7117
930,Best in Show,2000,90,20789556
931,REC,2007,78,32511655
932,Harry Potter and the Half-Blood Prince,2009,153,941055851
933,X2: X-Men United,2003,134,407711549
934,Felon,2008,104,Data not available
935,Total Recall,1990,113,261317921
936,The Texas Chain Saw Massacre,1974,83,30920518
937,The Devil's Advocate,1997,144,152944660
938,Buffalo '66,1998,110,2375718
939,The Constant Gardener,2005,129,82468097
940,A History of Violence,2005,96,61385065
941,The Aviator,2004,170,213719942
942,Harry Potter and the Sorcerer's Stone,2001,152,1026409257
943,Fruitvale Station,2013,85,17385830
944,Source Code,2011,93,147332697
945,Pi,1998,84,3221152
946,Open Range,2003,139,68296293
947,The Hobbit: The Battle of the Five Armies,2014,144,962253946
948,"The Adventures of Priscilla, Queen of the Desert",1994,104,11300225
949,The Devil's Backbone,2001,106,6582065
950,Still Alice,2015,101,44779195
951,Thesis,2016,125,14227
952,Biutiful,2011,148,25147786
953,Frenzy,1972,116,4940
954,From Russia with Love,1964,115,24811445
955,In the Bedroom,2002,131,44763181
956,Babel,2006,143,135330835
957,In the Loop,2009,106,7787487
958,Bram Stoker's Dracula,1992,128,215862692
959,The Three Burials of Melquiades Estrada,2006,121,12045362
960,The Mission,1986,125,17503446
961,Bullitt,1968,114,511852
962,Bad Education,2005,106,40432275
963,Suspiria,1977,92,47000
964,2046,2004,129,20207146
965,Transamerica,2006,103,15151744
966,Heavenly Creatures,1994,99,3049950
967,Up in the Air,2009,109,166842739
968,Looper,2012,119,176506819
969,Begin Again,2014,104,105539577
970,Trading Places,1983,116,90404800
971,The Proposition,2006,104,5048893
972,Harry Potter and the Order of the Phoenix,2007,138,942862581
973,Witness,1985,112,68706993
974,Ghost World,2001,111,8764389
975,Sweeney Todd: The Demon Barber of Fleet Street,2007,116,153384272
976,Running Scared,2006,122,9380029
977,Beetlejuice,1988,92,74852535
978,Say Anything,1989,100,21515196
979,Mud,2013,130,32613173
980,Inside Llewyn Davis,2014,104,32962157
981,Man on the Moon,1999,118,47434430
982,Home Alone,1990,103,476684675
983,Notes on a Scandal,2007,92,49814557
984,Mean Streets,1973,112,61676
985,Far from Heaven,2003,107,29027914
986,Brick,2006,110,3947579
987,Alice in Wonderland,1951,75,865
988,Predestination,2015,97,4942449
989,Take Shelter,2011,120,3741098
990,"Crazy, Stupid, Love.",2011,118,145086643
991,The Bucket List,2008,97,175372502
992,Vacation,1983,98,61418362
993,Raising Arizona,1987,94,29180280
994,X-Men,2000,104,296339528
995,Sleepy Hollow,1999,105,206071526
