,Title,Release Year,Runtime,Gross Worldwide Boxoffice
161,V for Vendetta,2006,132,134686457
162,Casino,1995,178,116112375
163,Gone with the Wind,1940,238,402382193
164,Cool Hand Luke,1967,127,1767
165,The Big Lebowski,1998,117,48066565
166,How to Train Your Dragon,2010,98,494879860
167,Lagaan: Once Upon a Time in India,2001,224,1724806
168,A Beautiful Mind,2002,135,316791257
169,Gran Torino,2009,116,269958228
170,Straight Outta Compton,2015,147,201634991
171,Mary and Max,2009,92,1740791
172,Into the Wild,2007,148,56676733
173,Dial M for Murder,1954,105,45313
174,The Deer Hunter,1979,183,49080126
175,The Best Years of Our Lives,1947,170,23667133
176,Rush,2013,123,96992516
177,My Sassy Girl,2001,137,365429
178,Baby,2015,159,11533057
179,Trainspotting,1996,93,16981823
180,The Maltese Falcon,1941,100,39032
181,Hachi: A Dog's Tale,2010,93,46749646
182,Persona,1967,83,90813
183,Throne of Blood,1961,110,59547
184,Gone Girl,2014,149,370890259
185,Stalker,1980,162,438245
186,Wild Tales,2014,122,31478893
187,The 400 Blows,1959,99,193228
188,Fargo,1996,98,60611975
189,Tae Guk Gi: The Brotherhood of War,2004,140,81407286
190,The Battle of Algiers,1967,121,962002
191,Diabolique,1955,117,12498
192,Touch of Evil,1958,95,2285063
193,The Thing,1982,109,20630135
194,The Sixth Sense,1999,107,672806432
195,Finding Nemo,2003,100,941637960
196,Hotel Rwanda,2005,121,33882243
197,The Princess Bride,1987,98,30963839
198,Network,1976,121,23701317
199,Monty Python's Life of Brian,1979,94,20781763
200,Underground,1997,167,182134
201,Fanny and Alexander,1982,188,6813882
202,The Grapes of Wrath,1940,129,7304
203,Butch Cassidy and the Sundance Kid,1969,110,102311848
204,Nausicaä of the Valley of the Wind,1987,117,9013757
205,The Avengers,2012,143,1520538536
206,No Country for Old Men,2007,122,171632777
207,The Legend of 1900,1998,169,21061339
208,Kill Bill: Vol. 1,2003,111,180908413
209,Platoon,1987,120,138545632
210,In the Name of the Father,1994,133,65796862
211,"Black Cat, White Cat",1998,127,370787
212,What Ever Happened to Baby Jane?,1962,134,4154
213,There Will Be Blood,2008,158,76186873
214,8½,1963,138,200502
215,Stand by Me,1986,89,53522503
216,Amores Perros,2001,154,20908467
217,Le Samouraï,1967,101,328741
218,Ben-Hur,1959,212,74439321
219,12 Years a Slave,2013,134,187734091
220,The Last Picture Show,1971,118,29146255
221,Annie Hall,1977,93,38289445
222,Laura,1944,88,151
223,Memories of Murder,2003,132,1210156
224,The Grand Budapest Hotel,2014,99,174567384
225,Departures,2009,130,74236951
226,Infernal Affairs,2002,101,8836958
227,Zindagi Na Milegi Dobara,2011,155,5192743
228,Shutter Island,2010,138,294946413
229,Chungking Express,1996,102,3294092
230,Million Dollar Baby,2005,132,216763646
231,Donnie Darko,2001,113,7412634
232,Harry Potter and the Deathly Hallows: Part 2,2011,130,1342480797
233,Guardians of the Galaxy,2014,121,773350376
234,Gandhi,1983,191,52768419
235,Cat on a Hot Tin Roof,1958,108,1872
236,Solaris,1972,167,229210
237,3-Iron,2004,88,3403957
238,Before Sunrise,1995,101,6568101
239,Barry Lyndon,1975,185,279084
240,Who's Afraid of Virginia Woolf?,1966,131,28006929
241,La Strada,1956,108,41362
242,Strangers on a Train,1951,101,50415
243,Sin City,2005,124,158733820
244,La Dolce Vita,1961,174,217420
245,La haine,1996,98,754907
246,"Spring, Summer, Fall, Winter... and Spring",2004,103,8842229
247,The Wizard of Oz,1939,102,25637669
248,The Celebration,1998,105,1657778
249,"Paris, Texas",1984,145,2682715
250,The Cabinet of Dr. Caligari,1920,67,9297
251,Elite Squad 2: The Enemy Within,2010,115,63618850
252,Ip Man,2008,106,22108789
253,Sleuth,1972,138,Data not available
254,The Bourne Ultimatum,2007,115,444100035
255,The Imitation Game,2014,114,233555708
256,Castle in the Sky,1991,124,6218229
257,High Noon,1952,85,217
258,Three Colors: Red,1994,99,3634446
259,In the Mood for Love,2001,98,15064528
260,Roman Holiday,1953,118,22728
261,Anatomy of a Murder,1959,161,194
262,Wings of Desire,1988,128,3518525
263,The Man Who Shot Liberty Valance,1962,123,Data not available
264,Notorious,1946,102,117060
265,Jurassic Park,1993,127,1104379926
266,Elite Squad,2007,115,14759148
267,The Philadelphia Story,1941,112,413654
268,Stalag 17,1953,120,Data not available
269,The Night of the Hunter,1955,92,6030
270,Arsenic and Old Lace,1944,118,Data not available
271,The Help,2011,146,221802186
272,Harvey,1950,104,Data not available
273,Akira,1988,124,3289058
274,The Hustler,1961,134,Data not available
275,12 Monkeys,1996,129,168839459
276,The Sea Inside,2005,126,43731621
277,Rocky,1976,120,117253184
278,A Christmas Story,1983,93,20792619
279,The Big Sleep,1946,114,51050
280,"Monsters, Inc.",2001,92,579770299
281,Groundhog Day,1993,101,71108778
282,Jaws,1975,124,477220580
283,Kal Ho Naa Ho,2003,186,13214520
284,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,654264546
285,Rio Bravo,1959,141,27210
286,The Terminator,1984,107,78371200
287,The Killing,1956,84,380
288,Papillon,1973,151,53267000
